Category: All categories

Region,Connecticut Huskies women's basketball: (1/1/04 - 10/6/20),Notre Dame Fighting Irish women's basketball: (1/1/04 - 10/6/20),Tennessee Volunteers women's basketball: (1/1/04 - 10/6/20),Stanford Cardinal women's basketball: (1/1/04 - 10/6/20),Baylor Lady Bears women's basketball: (1/1/04 - 10/6/20)
Tennessee,3%,1%,95%,<1%,1%
Connecticut,94%,3%,2%,<1%,1%
Vermont,77%,7%,10%,2%,4%
Alabama,16%,5%,71%,2%,6%
Rhode Island,82%,7%,6%,2%,3%
Indiana,18%,59%,17%,2%,4%
Georgia,20%,6%,66%,2%,6%
New Hampshire,78%,9%,8%,2%,3%
Kentucky,25%,10%,58%,2%,5%
Massachusetts,77%,10%,8%,2%,3%
Mississippi,27%,8%,53%,2%,10%
Maine,72%,10%,12%,3%,3%
Texas,15%,6%,16%,3%,60%
South Carolina,38%,7%,47%,2%,6%
Arkansas,22%,6%,54%,2%,16%
North Carolina,32%,9%,51%,2%,6%
New York,64%,13%,13%,4%,6%
Delaware,56%,17%,16%,3%,8%
New Jersey,59%,17%,14%,4%,6%
Florida,45%,10%,37%,2%,6%
West Virginia,34%,13%,37%,2%,14%
Pennsylvania,50%,21%,19%,4%,6%
Montana,40%,17%,26%,9%,8%
District of Columbia,44%,14%,28%,7%,7%
Virginia,37%,12%,42%,3%,6%
Louisiana,26%,9%,39%,3%,23%
North Dakota,31%,39%,19%,3%,8%
Maryland,48%,16%,23%,5%,8%
Ohio,32%,22%,36%,4%,6%
Nebraska,36%,20%,22%,7%,15%
Iowa,34%,17%,20%,6%,23%
Oklahoma,23%,8%,31%,4%,34%
Missouri,30%,11%,37%,5%,17%
South Dakota,34%,24%,23%,6%,13%
Kansas,32%,12%,28%,5%,23%
Nevada,45%,13%,21%,12%,9%
New Mexico,35%,17%,23%,9%,16%
Hawaii,42%,13%,20%,16%,9%
Wyoming,32%,17%,27%,15%,9%
Michigan,32%,33%,23%,5%,7%
Colorado,35%,15%,25%,10%,15%
Wisconsin,35%,22%,26%,6%,11%
Illinois,30%,29%,26%,5%,10%
Oregon,33%,12%,18%,25%,12%
Arizona,38%,18%,21%,11%,12%
California,25%,13%,15%,39%,8%
Alaska,40%,15%,27%,8%,10%
Idaho,37%,15%,26%,12%,10%
Minnesota,37%,20%,24%,7%,12%
Utah,40%,15%,23%,13%,9%
Washington,32%,12%,21%,24%,11%
