Category: All categories

Month,Taylor Swift: (United States),Beyoncé: (United States)
2008-01,12,15
2008-02,12,17
2008-03,12,13
2008-04,12,14
2008-05,14,14
2008-06,13,15
2008-07,12,15
2008-08,12,13
2008-09,21,14
2008-10,26,36
2008-11,49,70
2008-12,44,70
2009-01,40,66
2009-02,40,59
2009-03,34,47
2009-04,31,44
2009-05,43,42
2009-06,48,47
2009-07,48,46
2009-08,46,42
2009-09,100,66
2009-10,48,46
2009-11,66,56
2009-12,51,53
2010-01,42,44
2010-02,44,47
2010-03,34,49
2010-04,29,35
2010-05,26,33
2010-06,24,27
2010-07,21,25
2010-08,33,23
2010-09,40,24
2010-10,47,22
2010-11,49,22
2010-12,43,23
2011-01,44,21
2011-02,37,20
2011-03,31,18
2011-04,31,21
2011-05,36,38
2011-06,37,41
2011-07,31,54
2011-08,33,53
2011-09,28,48
2011-10,29,57
2011-11,35,56
2011-12,36,48
2012-01,30,42
2012-02,35,35
2012-03,33,30
2012-04,33,27
2012-05,30,26
2012-06,26,24
2012-07,23,24
2012-08,43,23
2012-09,60,23
2012-10,79,22
2012-11,64,21
2012-12,68,19
2013-01,59,23
2013-02,54,41
2013-03,49,26
2013-04,37,26
2013-05,35,26
2013-06,33,21
2013-07,26,21
2013-08,26,19
2013-09,22,18
2013-10,20,17
2013-11,21,17
2013-12,18,49
2014-01,17,57
2014-02,14,49
2014-03,12,41
2014-04,11,32
2014-05,11,31
2014-06,10,24
2014-07,9,22
2014-08,32,29
2014-09,34,25
2014-10,41,22
2014-11,82,24
2014-12,64,27
2015-01,48,23
2015-02,44,28
2015-03,33,20
2015-04,26,18
2015-05,42,20
2015-06,35,16
2015-07,28,14
2015-08,27,13
2015-09,36,15
2015-10,29,15
2015-11,24,13
2015-12,20,13
2016-01,20,15
2016-02,19,38
2016-03,14,18
2016-04,16,30
2016-05,13,30
2016-06,12,22
2016-07,12,19
2016-08,10,19
2016-09,10,20
2016-10,10,17
2016-11,10,15
2016-12,11,13
2017-01,11,13
2017-02,11,21
2017-03,8,13
2017-04,7,13
2017-05,8,12
2017-06,6,10
2017-07,5,9
2017-08,20,10
2017-09,18,12
2017-10,12,12
2017-11,16,12
2017-12,11,14
2018-01,8,12
2018-02,6,12
2018-03,8,11
2018-04,7,13
2018-05,7,10
2018-06,6,13
2018-07,6,10
2018-08,6,10
2018-09,5,10
2018-10,6,9
2018-11,5,8
2018-12,4,8
2019-01,5,8
2019-02,4,8
2019-03,4,8
2019-04,8,11
2019-05,9,12
2019-06,11,10
2019-07,8,12
2019-08,12,10
2019-09,10,10
2019-10,9,8
2019-11,10,7
2019-12,8,7
2020-01,6,8
2020-02,8,10
2020-03,6,8
2020-04,5,7
2020-05,4,7
2020-06,4,7
2020-07,7,7
2020-08,7,8
2020-09,6,7
